Data_Consulta,Hora_Consulta,Ano_Mes,Moeda_Codigo,Moeda_Nome,Preco_Compra,Preco_Venda
2026-09-23,13:04:22,2026-09,GBP,Libra,6.811,6.8134
2026-09-23,13:04:22,2026-09,EUR,Euro,5.8564,5.8576
2026-09-23,10:09:12,2026-09,USD,Dólar,5.1316,5.1322
2026-09-23,11:05:11,2026-09,USD,Dólar,5.1382,5.1388
2026-09-23,12:09:11,2026-09,USD,Dólar,5.1439,5.1445
2026-09-23,13:04:22,2026-09,USD,Dólar,5.1494,5.15
2026-09-23,13:04:22,2026-09,USD,Dólar,5.1408,5.1414
2026-09-23,10:09:12,2026-09,GBP,Libra,6.8122,6.8135
2026-09-23,10:09:12,2026-09,EUR,Euro,5.8536,5.8553
2026-09-23,12:09:11,2026-09,EUR,Euro,5.8646,5.8658
2026-09-23,13:04:22,2026-09,EUR,Euro,5.8662,5.8674
2026-09-23,11:05:11,2026-09,EUR,Euro,5.856,5.8572
2026-09-23,13:04:22,2026-09,GBP,Libra,6.8224,6.8248
2026-09-23,10:09:12,2026-09,AUD,Dólar Australiano,3.6255,3.6264
2026-09-23,12:09:11,2026-09,GBP,Libra,6.8229,6.8242
2026-09-23,11:05:11,2026-09,AUD,Dólar Australiano,3.6178,3.6193
2026-09-23,11:05:11,2026-09,GBP,Libra,6.8133,6.8146
2026-09-23,13:04:22,2026-09,AUD,Dólar Australiano,3.616,3.6175
2026-09-23,13:04:22,2026-09,AUD,Dólar Australiano,3.6221,3.6235
2026-09-23,12:09:11,2026-09,AUD,Dólar Australiano,3.6244,3.6258
2026-09-22,12:10:13,2026-09,AUD,Dólar Australiano,3.6287,3.6297
2026-09-22,13:03:30,2026-09,GBP,Libra,6.8094,6.8117
2026-09-22,12:10:13,2026-09,USD,Dólar,5.108,5.1086
2026-09-22,13:03:30,2026-09,USD,Dólar,5.1114,5.112
2026-09-22,13:03:30,2026-09,USD,Dólar,5.1155,5.1161
2026-09-22,13:03:30,2026-09,GBP,Libra,6.8149,6.8172
2026-09-22,11:03:16,2026-09,GBP,Libra,6.8385,6.8403
2026-09-22,12:10:13,2026-09,GBP,Libra,6.8166,6.819
2026-09-22,11:03:16,2026-09,AUD,Dólar Australiano,3.6425,3.6434
2026-09-22,11:03:16,2026-09,EUR,Euro,5.8632,5.8644
2026-09-22,12:10:13,2026-09,EUR,Euro,5.8446,5.8463
2026-09-22,13:03:30,2026-09,EUR,Euro,5.8428,5.844
2026-09-22,13:03:30,2026-09,EUR,Euro,5.8475,5.8487
2026-09-22,10:09:16,2026-09,USD,Dólar,5.1233,5.1239
2026-09-22,13:03:30,2026-09,AUD,Dólar Australiano,3.6315,3.6324
2026-09-22,13:03:30,2026-09,AUD,Dólar Australiano,3.6286,3.6295
2026-09-22,10:09:16,2026-09,GBP,Libra,6.8422,6.8435
2026-09-22,10:09:16,2026-09,AUD,Dólar Australiano,3.6411,3.6426
2026-09-22,11:03:16,2026-09,USD,Dólar,5.1194,5.12
2026-09-22,10:09:16,2026-09,EUR,Euro,5.8693,5.8705
2026-09-21,12:11:11,2026-09,GBP,Libra,6.8297,6.831
2026-09-21,13:06:51,2026-09,AUD,Dólar Australiano,3.6388,3.6403
2026-09-21,10:08:10,2026-09,USD,Dólar,5.1105,5.1111
2026-09-21,11:10:11,2026-09,USD,Dólar,5.1168,5.1174
2026-09-21,12:11:11,2026-09,USD,Dólar,5.1071,5.1077
2026-09-21,10:08:10,2026-09,EUR,Euro,5.8699,5.8711
2026-09-21,11:10:11,2026-09,EUR,Euro,5.87,5.8712
2026-09-21,12:11:11,2026-09,EUR,Euro,5.8589,5.8601
2026-09-21,10:08:10,2026-09,AUD,Dólar Australiano,3.6463,3.6473
2026-09-21,12:11:11,2026-09,AUD,Dólar Australiano,3.6378,3.6413
2026-09-21,11:10:11,2026-09,AUD,Dólar Australiano,3.6473,3.6487
2026-09-21,13:06:51,2026-09,AUD,Dólar Australiano,3.6396,3.6411
2026-09-21,10:08:10,2026-09,GBP,Libra,6.843,6.8453
2026-09-21,13:06:51,2026-09,EUR,Euro,5.8596,5.8613
2026-09-21,13:06:51,2026-09,EUR,Euro,5.8609,5.8626
2026-09-21,13:06:51,2026-09,GBP,Libra,6.833,6.8354
2026-09-21,13:06:51,2026-09,USD,Dólar,5.11,5.1106
2026-09-21,13:06:51,2026-09,USD,Dólar,5.1111,5.1117
2026-09-21,13:06:51,2026-09,GBP,Libra,6.8316,6.8339
2026-09-21,11:10:11,2026-09,GBP,Libra,6.8453,6.8481
2026-09-18,10:02:17,2026-09,USD,Dólar,5.1441,5.1447
2026-09-18,10:02:17,2026-09,GBP,Libra,6.8663,6.8677
2026-09-18,13:03:34,2026-09,EUR,Euro,5.9114,5.9126
2026-09-18,13:03:34,2026-09,EUR,Euro,5.9163,5.9175
2026-09-18,11:10:13,2026-09,EUR,Euro,5.9112,5.9124
2026-09-18,10:02:17,2026-09,EUR,Euro,5.8993,5.9005
2026-09-18,12:07:11,2026-09,EUR,Euro,5.9175,5.9187
2026-09-18,11:10:13,2026-09,USD,Dólar,5.159,5.1596
2026-09-18,13:03:34,2026-09,USD,Dólar,5.1612,5.1618
2026-09-18,11:10:13,2026-09,GBP,Libra,6.8811,6.8834
2026-09-18,12:07:11,2026-09,GBP,Libra,6.897,6.8994
2026-09-18,13:03:34,2026-09,GBP,Libra,6.8995,6.9024
2026-09-18,13:03:34,2026-09,GBP,Libra,6.8937,6.8966
2026-09-18,13:03:34,2026-09,AUD,Dólar Australiano,3.666,3.6675
2026-09-18,13:03:34,2026-09,AUD,Dólar Australiano,3.6691,3.6706
2026-09-18,12:07:11,2026-09,AUD,Dólar Australiano,3.67,3.6709
2026-09-18,11:10:13,2026-09,AUD,Dólar Australiano,3.6675,3.6685
2026-09-18,10:02:17,2026-09,AUD,Dólar Australiano,3.66,3.6615
2026-09-18,13:03:34,2026-09,USD,Dólar,5.1569,5.1575
2026-09-18,12:07:11,2026-09,USD,Dólar,5.1632,5.1638
2026-09-17,13:03:21,2026-09,USD,Dólar,5.1515,5.1521
2026-09-17,13:03:21,2026-09,EUR,Euro,5.9124,5.9141
2026-09-17,13:03:21,2026-09,EUR,Euro,5.9155,5.9172
2026-09-17,12:03:11,2026-09,EUR,Euro,5.9249,5.9261
2026-09-17,11:11:11,2026-09,EUR,Euro,5.9268,5.9286
2026-09-17,10:06:11,2026-09,EUR,Euro,5.8985,5.8997
2026-09-17,10:06:11,2026-09,USD,Dólar,5.1336,5.1342
2026-09-17,11:11:11,2026-09,USD,Dólar,5.1596,5.1602
2026-09-17,12:03:11,2026-09,USD,Dólar,5.1584,5.159
2026-09-17,13:03:21,2026-09,USD,Dólar,5.1542,5.1548
2026-09-17,10:06:11,2026-09,GBP,Libra,6.8708,6.8732
2026-09-17,13:03:21,2026-09,GBP,Libra,6.8742,6.8755
2026-09-17,11:11:11,2026-09,GBP,Libra,6.8994,6.9013
2026-09-17,13:03:21,2026-09,AUD,Dólar Australiano,3.6657,3.6671
2026-09-17,13:03:21,2026-09,GBP,Libra,6.8778,6.8791
2026-09-17,12:03:11,2026-09,GBP,Libra,6.8875,6.8898
2026-09-17,10:06:11,2026-09,AUD,Dólar Australiano,3.6546,3.6561
2026-09-17,13:03:21,2026-09,AUD,Dólar Australiano,3.6637,3.6652
2026-09-17,11:11:11,2026-09,AUD,Dólar Australiano,3.6711,3.672
2026-09-17,12:03:11,2026-09,AUD,Dólar Australiano,3.6687,3.6696
2026-09-16,10:05:14,2026-09,EUR,Euro,5.9512,5.953
2026-09-16,11:08:14,2026-09,EUR,Euro,5.9474,5.9491
2026-09-16,13:05:30,2026-09,EUR,Euro,5.9439,5.9457
2026-09-16,13:05:30,2026-09,GBP,Libra,6.9263,6.9288
2026-09-16,13:05:30,2026-09,GBP,Libra,6.914,6.9163
2026-09-16,12:03:15,2026-09,GBP,Libra,6.926,6.9284
2026-09-16,11:08:14,2026-09,GBP,Libra,6.9355,6.9374
2026-09-16,12:03:15,2026-09,EUR,Euro,5.9401,5.9418
2026-09-16,13:05:30,2026-09,USD,Dólar,5.152,5.1527
2026-09-16,10:05:14,2026-09,GBP,Libra,6.9429,6.9454
2026-09-16,13:05:30,2026-09,AUD,Dólar Australiano,3.6739,3.6749
2026-09-16,13:05:30,2026-09,AUD,Dólar Australiano,3.6673,3.6683
2026-09-16,13:05:30,2026-09,USD,Dólar,5.1428,5.1434
2026-09-16,12:03:15,2026-09,USD,Dólar,5.1483,5.1489
2026-09-16,11:08:14,2026-09,USD,Dólar,5.1573,5.1579
2026-09-16,10:05:14,2026-09,USD,Dólar,5.1597,5.1604
2026-09-16,13:05:30,2026-09,EUR,Euro,5.9332,5.935
2026-09-16,10:05:14,2026-09,AUD,Dólar Australiano,3.6789,3.6804
2026-09-16,11:08:14,2026-09,AUD,Dólar Australiano,3.6756,3.6766
2026-09-16,12:03:15,2026-09,AUD,Dólar Australiano,3.6707,3.6722
2026-09-15,10:10:12,2026-09,USD,Dólar,5.141,5.1416
2026-09-15,11:11:12,2026-09,USD,Dólar,5.1449,5.1455
2026-09-15,12:03:12,2026-09,USD,Dólar,5.1593,5.1599
2026-09-15,13:09:18,2026-09,USD,Dólar,5.1484,5.149
2026-09-15,13:09:18,2026-09,AUD,Dólar Australiano,3.6687,3.6702
2026-09-15,13:09:19,2026-09,AUD,Dólar Australiano,3.6687,3.6702
2026-09-15,10:10:12,2026-09,EUR,Euro,5.9358,5.9375
2026-09-15,11:11:12,2026-09,EUR,Euro,5.9418,5.9431
2026-09-15,12:03:12,2026-09,EUR,Euro,5.9554,5.9566
2026-09-15,13:09:18,2026-09,EUR,Euro,5.9418,5.943
2026-09-15,13:09:19,2026-09,EUR,Euro,5.9418,5.943
2026-09-15,13:09:19,2026-09,USD,Dólar,5.1484,5.149
2026-09-15,10:10:12,2026-09,AUD,Dólar Australiano,3.664,3.6654
2026-09-15,11:11:12,2026-09,AUD,Dólar Australiano,3.6699,3.6708
2026-09-15,13:09:18,2026-09,GBP,Libra,6.9385,6.9403
2026-09-15,10:10:12,2026-09,GBP,Libra,6.9311,6.9324
2026-09-15,11:11:12,2026-09,GBP,Libra,6.942,6.9439
2026-09-15,12:03:12,2026-09,GBP,Libra,6.9583,6.9607
2026-09-15,12:03:12,2026-09,AUD,Dólar Australiano,3.6781,3.679
2026-09-15,13:09:19,2026-09,GBP,Libra,6.9385,6.9403
2026-09-14,12:03:13,2026-09,GBP,Libra,6.9654,6.9677
2026-09-14,13:10:07,2026-09,GBP,Libra,6.9526,6.9576
2026-09-14,13:10:08,2026-09,GBP,Libra,6.9725,6.9774
2026-09-14,10:04:12,2026-09,USD,Dólar,5.1758,5.1764
2026-09-14,11:08:11,2026-09,USD,Dólar,5.1762,5.1768
2026-09-14,12:03:13,2026-09,USD,Dólar,5.1695,5.1701
2026-09-14,13:10:08,2026-09,USD,Dólar,5.169,5.1696
2026-09-14,13:10:07,2026-09,USD,Dólar,5.1543,5.1549
2026-09-14,11:08:11,2026-09,GBP,Libra,6.9713,6.9726
2026-09-14,10:04:12,2026-09,AUD,Dólar Australiano,3.681,3.6825
2026-09-14,13:10:08,2026-09,AUD,Dólar Australiano,3.6896,3.6921
2026-09-14,13:10:07,2026-09,AUD,Dólar Australiano,3.6791,3.6816
2026-09-14,10:04:12,2026-09,EUR,Euro,5.9682,5.9699
2026-09-14,11:08:11,2026-09,AUD,Dólar Australiano,3.6813,3.6828
2026-09-14,12:03:13,2026-09,AUD,Dólar Australiano,3.6838,3.6852
2026-09-14,13:10:08,2026-09,EUR,Euro,5.9686,5.9704
2026-09-14,13:10:07,2026-09,EUR,Euro,5.9517,5.9534
2026-09-14,12:03:13,2026-09,EUR,Euro,5.9641,5.9653
2026-09-14,11:08:11,2026-09,EUR,Euro,5.9656,5.9673
2026-09-14,10:04:12,2026-09,GBP,Libra,6.9708,6.9721
2026-09-11,10:03:13,2026-09,GBP,Libra,6.8621,6.8645
2026-09-11,11:08:11,2026-09,GBP,Libra,6.8882,6.8895
2026-09-11,12:02:22,2026-09,GBP,Libra,6.8984,6.9028
2026-09-11,13:07:22,2026-09,GBP,Libra,6.8931,6.8975
2026-09-11,13:07:22,2026-09,GBP,Libra,6.8818,6.8862
2026-09-11,11:08:11,2026-09,EUR,Euro,5.9114,5.9126
2026-09-11,12:02:22,2026-09,AUD,Dólar Australiano,3.6583,3.6592
2026-09-11,13:07:22,2026-09,AUD,Dólar Australiano,3.6509,3.6534
2026-09-11,13:07:22,2026-09,USD,Dólar,5.0996,5.1002
2026-09-11,13:07:22,2026-09,USD,Dólar,5.0912,5.0918
2026-09-11,10:03:13,2026-09,USD,Dólar,5.0748,5.0754
2026-09-11,10:03:13,2026-09,AUD,Dólar Australiano,3.6462,3.6477
2026-09-11,11:08:11,2026-09,AUD,Dólar Australiano,3.6548,3.6583
2026-09-11,11:08:11,2026-09,USD,Dólar,5.0903,5.0909
2026-09-11,13:07:22,2026-09,AUD,Dólar Australiano,3.6569,3.6594
2026-09-11,12:02:22,2026-09,USD,Dólar,5.1001,5.1007
2026-09-11,13:07:22,2026-09,EUR,Euro,5.9073,5.9085
2026-09-11,13:07:22,2026-09,EUR,Euro,5.9171,5.9183
2026-09-11,12:02:22,2026-09,EUR,Euro,5.9227,5.9245
2026-09-11,10:03:13,2026-09,EUR,Euro,5.8878,5.889
2026-09-10,13:09:28,2026-09,USD,Dólar,5.0995,5.1001
2026-09-10,13:09:28,2026-09,GBP,Libra,6.9196,6.922
2026-09-10,13:09:28,2026-09,GBP,Libra,6.8996,6.902
2026-09-10,12:06:12,2026-09,GBP,Libra,6.8841,6.8865
2026-09-10,11:05:11,2026-09,GBP,Libra,6.9424,6.9447
2026-09-10,10:10:13,2026-09,GBP,Libra,6.9331,6.936
2026-09-10,13:09:28,2026-09,USD,Dólar,5.1143,5.1149
2026-09-10,12:06:12,2026-09,USD,Dólar,5.0888,5.0894
2026-09-10,11:05:11,2026-09,USD,Dólar,5.1368,5.1374
2026-09-10,10:10:13,2026-09,USD,Dólar,5.1322,5.1328
2026-09-10,10:10:13,2026-09,EUR,Euro,5.9559,5.9571
2026-09-10,10:10:13,2026-09,AUD,Dólar Australiano,3.6772,3.6787
2026-09-10,11:05:11,2026-09,EUR,Euro,5.9649,5.9666
2026-09-10,11:05:11,2026-09,AUD,Dólar Australiano,3.6805,3.682
2026-09-10,12:06:12,2026-09,AUD,Dólar Australiano,3.6471,3.6486
2026-09-10,13:09:28,2026-09,AUD,Dólar Australiano,3.6558,3.6573
2026-09-10,13:09:28,2026-09,AUD,Dólar Australiano,3.6664,3.6679
2026-09-10,13:09:28,2026-09,EUR,Euro,5.9469,5.9481
2026-09-10,13:09:28,2026-09,EUR,Euro,5.9297,5.9309
2026-09-10,12:06:12,2026-09,EUR,Euro,5.9173,5.9185
